en,xh,ny,lg,ln,zu
one,enye ,yomwe ,omu,moko,eyodwa
 two, ezimbini , awiri , babiri, mibale, ezimbili
 three, ezintathu, atatu , ssatu, misato, ezintathu
 four, ezine , anayi , bana, minei, ezine
 five, ezintlanu , zisanu , ttaano, mitano, amahlanu 
 six, ezintandathu, zisanu , mukaaga, motoba, ayisithupha
 seven, isixhenxe, seveni , musanvu, nsambo, eziyisikhombisa
 eight, isibhozo, eyiti , munaana, mwambe, isishiyagalombili
 nine, isithoba, zisanu , mwenda, libwa, ayisishiyagalolunye
 ten, ishumi , khumi , kkumi, zomi, eziyishumi
 eleven, ishumi elinanye, khumi ndi chimodzi, kkumi n'emu, zomi na moko, ishumi nanye
 twelve, ishumi elinambini, khumi , kkumi na babiri, zomi na mibale, ishumi nambili
 thirteen, ishumi elinesithathu, khumi ndi atatu, kkumi na ssatu, zomi na misato, ishumi nantathu
 fourteen, ishumi elinesine, khumi ndi anayi , kkumi na nnya, zomi na minei, eziyishumi nane
 fifteen, ishumi elinesihlanu, khumi ndi zisanu, kkumi na bataano, zomi na mitano, eziyishumi nanhlanu
 sixteen, ishumi elinesithandathu, khumi ndi zisanu , kkumi na mukaaga, zomi na motoba, eziyishumi nesithupha
 seventeen, ishumi elinesixhenxe, khumi ndi zisanu , kkumi na musanvu, zomi na nsambo, ishumi nesikhombisa
 eighteen, ishumi elinesibhozo, khumi ndi zisanu , kkumi na munaana, zomi na mwambe, eziyishumi nesishiyagalombili
 nineteen, ishumi elinesithoba, khumi nayini, kkumi na mwenda, zomi na libwa, ishumi nesishiyagalolunye
 twenty, amashumi amabini, makumi awiri , amakumi abiri, ntuku mibale, amashumi amabili
 twenty-one, amashumi amabini ananye, makumi awiri ndi chimodzi, amakumi abiri mu gumu, ntuku mibale na moko, amashumi amabili nanye
 twenty-two, amashumi amabini anesibini, makumi awiri , abiri mu bibiri, ntuku mibale na mibale, amashumi amabili nambili
 twenty-three, amashumi amabini anesithathu, makumi awiri ndi atatu, abiri mu ssatu, ntuku mibale na misato, amashumi amabili nantathu
 twenty-four, amashumi amabini anesine, makumi awiri ndi anayi, abiri mu bina, ntuku mibale na minei, amashumi amabili nane
 twenty-five, amashumi amabini anesihlanu, makumi awiri ndi zisanu, abiri mu ttaano, ntuku mibale na mitano, amashumi amabili nanhlanu
 twenty-six, amashumi amabini anesithandathu, makumi awiri ndi zisanu , abiri mu mukaaga, ntuku mibale na motoba, amashumi amabili nesithupha
 twenty-seven, amashumi amabini anesixhenxe, makumi awiri mphambu zisanu ndi ziwiri , abiri mu musanvu, ntuku mibale na sambo, amashumi amabili nesikhombisa
 twenty-eight, amashumi amabini anesibhozo, makumi awiri mphambu zisanu ndi zitatu , abiri mu munaana, ntuku mibale na mwambe, amashumi amabili nesishiyagalombili
 twenty-nine, amashumi amabini anesithoba, makumi awiri mphambu zisanu ndi zinayi, abiri mu mwenda, ntuku mibale na libwa, amashumi amabili nesishiyagalolunye
