English,Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Aymara,Azerbaijani,Bambara,Basque,Belarusian,Bengali,Bhojpuri,Bosnian,Bulgarian,Catalan,Cebuano,Chinese (Simplified),Chinese (Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dogri,Esperanto,Estonian,Ewe,Filipino (Tagalog),Finnish,French,Frisian,Galician,Georgian,Greek,Guarani,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hmong,Hungarian,Icelandic,Igbo,Ilocano,Irish,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Konkani,Korean,Krio,Kurdish,Kurdish (Sorani),Kyrgyz,Lao,Latin,Latvian,Lingala,Lithuanian,Luganda,Luxembourgish,Macedonian,Maithili,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Meiteilon (Manipuri),Mizo,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Nyanja (Chichewa),Odia (Oriya),Oromo,Pashto,Persian,Portuguese,Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots Gaelic,Sepedi,Serbian,Sesotho,Shona,Sindhi,Sinhala (Sinhalese),Slovak,Slovenian,Somali,Sundanese,Swahili,Swedish,Tagalog (Filipino),Tajik,Tamil,Tatar,Telugu,Tigrinya,Tsonga,Turkish,Turkmen,Twi (Akan),Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
one,een,nje,'and,whd,mek,ek,maya,bir,kelen,bat,adzin,ek,ego,jedan,edin,un,usa,Yi,Yi,unu,jedan,jeden,en,eke,ik,unu,uks,deka,isa,yksi,un,ien,un,erti,enas,petei,ek,youn,daya,`ekahi,'ehad,ib,egy,einn,otu,maysa,aon,siji,omdu,bir,muoy.,imwe,ek,HaNa,wan,yek,yek,bir,hnung,unus,viens,moko,vienas,emu,eent,eden,ekta,iray,satu,onn,wiehed,kotahi,ek,am,pakhat,neg,tckhu,euta,en,imodzi,gotie |,tokko,yw,yky,um,i'k,huk,unul,odin,tasi,ekm,aon,tee,jedan,ngoe,Poshi,hk,ekk,jeden,eno,mid,hiji,moja,en,isa,yak,onru,ber,okti,hade,n'we,bir,biri,baako,odin,yk,bara,bitta,mot,un,Nye,'yyn'r,okan,eyodwa
two,twee,dy,hulet,thnn,erkow,dui,paya,iki,fila,bi,dva,dui,du,dva,dve,dos,duha,Er,Er,due,dva,dva,to,dhey,do,du,kaks,eve,dalawa,kaksi,deux,twa,dous,ori,dyo,mokoi,be,de,biyu,`elua,dv,ob,ket,tveir,abuo,dua,dha,loro,erdu,eki,peir,bibiri,don,Dul,tu,du,dww,eki,sng,duo,divi,mibale,du,bbiri,zwee,dva,du,rOA,dua,rnt,tnejn,rua,don,ani,pahnih,khoer,nhckhu,dui,to,awiri,duiti,lama,dwh,dw,dois,do,iskay,doua,dva,lua,dvi,dha,pedi,dva,tse pedi,piri,bh,dekk,dve,dva,laba,dua,mbili,tva,dalawa,du,irntu,ike,remdu,klte,mbirhi,iki,iki,mmienu,dva,dw,i'akka,ikki,hai,dwy,Mbini,tsvvyy,meji,ezimbili
three,drie,tre,sost,thlthh,erek',tini,kimsa,uc,saba,hiru,try,tin,tin,tri,tri,tres,tulo,San,San,tre,tri,tri,tre,thine,trai,tri,kolm,eto,tatlo,kolme,trois,trije,tres,sami,tria,mbohapy,trn,twa,uku,`ekolu,shelvoshah,peb,harom,thrir,ato,tallo,tri,telu,muru,ush,bei,bitatu,tin,Ses,tri,se,se,uch,sam,tres,tris,misato,trys,ssatu,drai,tri,tin,TELO,tiga,munn,tlieta,toru,tin,ahum,pathum,gurav,sum,tin,tre,atatu,tini,sadii,dre,sh,tres,timn,kimsa,trei,tri,tolu,tryh,tri,tharo,tri,tharo,tatu,ty,tunk,tri,tri,saddex,tilu,tatu,tre,tatlo,se,munru,och,mudu,seleste,nharhu,uc,uc,mmiensa,tri,tyn,i'uch,uch,ba,tri,Ntathu,dryya,meta,ezintathu
four,vier,kater,'arat,'rb`h,ch'ors,carita,pusi,dord,naani,lau,chatyry,car,car go ke ba,cetiri,chetiri,quatre,upat,Si,Si,quattru,cetiri,ctyri,fire,hatharu...,car,kvar,neli,ene,apat,nelja,quatre,fjouwer,catro,otkhi,tesseris,irundy,car,kat,hudu,`eha,'rv',plaub,negy,fjogur,ano,uppat,ceathair,papat,nalku,tort,buon,bine,car,Nes,4,car,chwr,tort,si,quattuor,cetri,minei,keturi,bana,veier,chetiri,cari,EFATRA,empat,nal,erba,wha,car,mri.,pali,dorov,le,car,fire,zinayi,cari,afur,tslwr,chhr,quatro,car,tawa,patru,chetyre,fa,ctuh,ceithir,tse nne,chetiri,nne,ina,chr,htr,styri,stiri,afar,opat,nne,fyra,apat,chor,nanku,durt,nalugu,'arba`te,mune,dort,dort,anan,chotiri,chr,tot,to'rtta,bon,pedwar,ezine,fyr,merin,ezine
five,vyf,pese,'amst,khmsh,hing,pamc,phisqha,bes,duuru,bost,pyats',pamc,pamc,pet,pet,cinc,lima,Wu,Wu,cinque,pet,pet,fem,fahe,pmj,kvin,viis,ato,lima,viisi,cinq,fiif,cinco,khuti,pente,po,pamc,senk,biyar,`elima,hamesh,tsib,ot,fimm,ise,lima,cuig,gangsal,aidu,bes,braam,bitanu,pac,DaSeos,fayv,penc,penj,besh,ha,quinque,pieci,mitano,penkios,taano,fennef,pet,pamc,DIMY,lima,anc,hamsa,rima,pac,mna,panga,tav,na,pamc,fem,zisanu,panc,shan,pndzh,pnj,cinco,pmj,pichqa,cinci,pyat',lima,pmcm,coig,hlano,pet,hlano,shanu,pnj,phk,pat,pet,shan,lima,tano,fem,lima,panj,aintu,bish,aidu,hamushte,ntlhanu,bes,bas,nnum,p'yat',pnch,besh,besh,nam,pump,Ntlanu,fynf,marun,amahlanu
six,ses,gjashte,sdst,sth,vets',chy,suxta,alti,wooro,sei,shests',chy',chh,sest,shest,sis,unom,Liu,Liu,sei,sest,sest,seks,hae,che,ses,kuus,ade,anim,kuusi,six,seis,seis,ekvsi,exi,potei,ch,sis,shida,`eono,shesh,rau,hat,sex,isii,innem,seisear,enem,aru,alty,braammuoy.,atandatu,s,YeoSeos,siks,ses,shesh,alty,hok,sex,sesi,motoba,sesi,mukaaga,sechs,shest,chh,ENINA,enam,ar,sitta,ono,sha,truk,paruk,zurgaa,khreak,ch,seks,zisanu ndi chimodzi,cha,ja'a,shpzh,shsh,seis,che,suqta,sase,shest',ono,sstm,sia,tshela,shest,tshelela,nhanhatu,chhh,hy,sest,sest,lix,genep,sita,sex,anim,shash,aru,alty,aru,shdushte,tsevu,alti,alty,nsia,shist',chh,i'lte,olti,sau,chwech,Ntandathu,z'ks,mefa,eziyisithupha
seven,sewe,shtate,sebat,sb`h,yot',sat,paqallqu,yeddi,wolonwula,zazpi,sem,sat,sat go ke ba,sedam,sedem,set,pito,Qi,Qi,sette,sedam,sedm,syv,hath,sat,sep,seitse,adre,pito,seitseman,sept,san,sete,shvidi,epta,siete,sat,set,bakwai,`ehiku,sv'h,xya,het,sjo,Asaa,pito,seacht,pitu,elu,Zheti,braampeir,karindwi,sat,IlGob,sevin,heft,hewt,zheti,echad,septem,septini,nsambo,septyni,musanvu,siwen,sedum,sat,Fito,tujuh,el,sebgha,whitu,sat,7,pasarih a ni,doloo,khunhc,sat,syv,Zisanu ndi ziwiri,sat,torba,wh,hft,sete,s't,qanchis,Sapte,sem',fitu,spt,seachd,tse supago,sedam,Supa,nomwe,st,ht,sedem,sedem,toddoba,Tujuh,saba,sju,pito,Haft,elu,jide,edu,shew`ate,nkombo,yedi,yedi,nson,sim,st,yette,etti,bay,saith,Sixhengxe,zyvn,meje,Isikhombisa
eight,agt,tete,smt,thmnyh,owt',ath,kimsaqallqu,sekkiz,segin,zortzi,vosem,at,ath,osam,osem,vuit,walo,Ba,Ba,ottu,osam,osm,otte,ashe,atth,ok,kaheksa,enyi,walo,kahdeksan,huit,acht,oito,rva,okto,poapy,ath,uit,takwas,`ewalu,shemvoneh,yim,nyolc,atta,asato,walo,ocht,wolung,emtu,segiz,braambei,umunani,ath,YeoDeolb,et,hest,hesht,segiz,epd,octingenti,astoni,mwambe,astuoni,munaana,aacht,osum,athi,VALO,lapan,ett,tmienja,waru,ath,nipal,pariat,naym,rhc,ath,atte,eyiti,ath,saddeet,th,hsht,oito,a'th,qanchis,opt,vosem',valu,ast,ochd,seswai,osam,robedi,sere,th,at,osem,osem,sideed,dalapan,nane,atta,walo,hasht,ettu,sigez,enimidi,shemonte,nhungu,sekiz,sekiz,nwotwe,visim,ath,sekkaz,sakkiz,tam,wyth,Sibhozo,'akht,mejo,ayisishiyagalombili
nine,nege,nente,zet'eny,ts`h,iny,n,llatunka,doqquz,kononton,bederatzi,dzevyats',ny'ti,nau,devet,devet,nou,siyam,Jiu,Jiu,nove,devet,devet,ni,nuvae,nau,nau,uheksa,asieke,siyam,yhdeksan,neuf,njoggen,nove,tskhra,ennea,porundy,nv,nef,tara,`eiwa,tesha',cuaj,kilenc,niu,itoolu,siam,naoi,sanga,ombttu,toghyz,braambuon,icyenda,nv,AHob,nayn,neh,no,toguz,ekoa,novem,devini,libwa,devynios,mwenda,neng,devet,nv,sivy,sembilan,ompt,disgha,iwa,nu,mapl,pakua,eson,kiu,nau,ni,zisanu ndi zinayi,na,sagal,nhh,nh,nove,naum,isqun,noua,devyat',iva,nvm,naoi,senyane,devet,robong,pfumbamwe,nw,nvy,devat,devet,sagaal,salapan,tisa,nio,siyam,nuh,onptu,tugyz,tommidi,tshe`ate,nkaye,dokuz,dokuz,nkron,dev'yat',nw,twqquz,to'qqiz,chin,naw,Thoba,nyyn,mesan,ayisishiyagalolunye
ten,tien,dhjete,'asr,`shrh,tasy,dh,tunka,on,tan,hamar,dzesyats',ds,ds,deset,deset,deu,napulo,Shi,Shi,deci,deset,deset,ti,dhihae,ds,dek,kumme,ewo,sampu,kymmenen,dix,tsien,dez,ati,deka,pa,ds,dis,goma,`umi,'eser,kaum,tiz,tiu,iri,sangapulo,deich,sepuluh,httu,on,dba,icumi,dha,Yeol,ten,deh,de,on,sib,decem,desmit,zomi,desimt,kkumi,zeng,deset,ds,FOLO,sepuluh,ptt,ghaxra,tekau,dha,tra,sawm,arav,chy,ds,ti,khumi,ds,kudhan,ls,dh,dez,ds,chunka,zece,desyat',sefulu,dsm,deich,lesome,deset,leshome,gumi,dhh,dhy,desat,deset,toban,sapuluh,kumi,tio,sampu,dah,pttu,un,pdi,`aserte,khume,on,on,edu,desyat',ds,i'wn,o'n,muoi,deg,Shumi,ts'n,mewa,eziyishumi
eleven,elf,njembedhjete,'asra 'and,'hd `shr,tasnmek,eghar,tunka mayani,on bir,tannikelen,hamaika,adzinatstsats',egaro,egarh,jedanaest,edinadeset,onze,onse,ShiYi,ShiYi,ondeci,jedanaest,jedenact,elleve,egaara,naram,dek unu,uksteist,wuideke,labing-isa,yksitoista,onze,alve,once,tertmet'i,enteka,patei,agiyar,onz,goma sha daya,`umikumakahi,'ahad 'asar,kaum ib,tizenegy,ellefu,iri na otu,sangapulo ken maysa,a haon deag,sewelas,hnnomdu,on bir,dbamuoy,cumi n'umwe,ikra,YeolHan,ilevin,yanzdeh,yzde,on bir,sibead,undecim,vienpadsmit,zomi na moko,vienuolika,kumu n'emu,eelef,edinaeset,gyarh,iraika ambin'ny folo,sebelas,ptinonn,hdax,tekau ma tahi,akra,tramathoi,sawmpakhat,arvan negen,chytc,eghar,elleve,khumi ndi chimodzi,ekads,kudha tokko,ywls,yzdh,onze,giaram,chunka hukniyuq,unsprezece,odinnadtsat',sefulu ma le tasi,ekadsm,aon-deug,lesometee,jedanaest,leshome le motso o mong,gumi neimwe,yrnhn,ekolos,jedenast,enajst,kow iyo toban,sabelas,kumi na moja,elva,labing-isa,ezdah,ptinoru,unber,pdkomdu,`aserte hade,khumen'we,on bir,on bir,dubaako,odinadtsyat',gyrh,i'wn bar,o'n bir,muoi mot,unarddeg,Shumi elinanye,'lf,mokanla,ishumi nanye
twelve,twaalf,dymbedhjete,'asra hulet,thn `shr,tasnerkow,bar,tunka paya,on iki,tannifila,hamabi,dvanatstsats',baro,barh,dvanaest,dvanadeset,dotze,dose,ShiEr,ShiEr,dodeci,dvanaest,dvanact,tolv,baara,baram,dek du,kaksteist,wuieve,labindalawa,kaksitoista,douze,tolve,doce,tormet'i,dodeka,pakoi,bar,douz,goma sha biyu,`umikumalua,sheteym 'esreh,kaum ob,tizenket,tolf,iri na abuo,dose,dareag,rolas,hnnerdu,on eki,dbapeir,cumi na kabiri,bara,YeolDul,twelv,duwanzdeh,dwzde,on eki,sibsng,duodecim,divpadsmit,zomi na mibale,dvylika,kumi na bbiri,zwielef,dvanaeset,barh,roa ambin'ny folo,dua belas,pntrnt,tnax,tekau ma rua,bara,tranithoi,sawmpahnih,arvan khoer,chynhc,bahr,tolv,khumi ndi awiri,bar,kudha lama,dwls,dwzdh,doze,baram,chunka iskayniyuq,doisprezece,dvenadtsat',sefulu ma le lua,dvidskm,dha-dheug,lesomepedi,dvanaest,leshome le metso e mmedi,gumi nembiri,brhn,dolos,dvanast,dvanajst,laba iyo toban,dua belas,kumi na mbili,tolv,labindalawa,duvozdah,pnnirntu,unike,pnnemdu,`aserte klte,khumembirhi,on iki,on iki,dummienu,dvanadtsyat',brh,i'wn i'akka,o'n ikki,muoi hai,deuddeg,Shumi elinambini,tsvv'lf,mejila,ishumi nambili
thirteen,dertien,trembedhjete,'asra sost,thlthh `shr,tasnerek',ter,tunka kimsani,on uc,tan ni saba,hamahiru,trynatstsats',tero,terh,trinaest,trinadeset,tretze,napulog tulo,ShiSan,ShiSan,tredeci,trinaest,trinact,tretten,theyra,teram,dek tri,kolmteist,wuieto,labintatlo,kolmetoista,treize,trettjin,trece,tsamet'i,dekatreis,paapy,ter,trez,goma sha uku,`umikumakolu,shelvosh 'esreh,kaum peb,tizenharom,threttan,iri na ato,sangapulo ket tallo,tri cinn deag,telulas,hdimuru,on ush,dbabei,cumi na gatatu,tera,YeolSes,totin,sezdeh,sezde,on uch,sibsam,tredecim,trispadsmit,zomi na misato,trylika,kumi na ssatu,draizeng,trinaeset,terh,telo ambin'ny folo,tiga belas,ptimunn,tlettax,tekau ma toru,tera,trahumdoi,sawmpathum,arvan gurav,chysum,tehr,tretten,khumi ndi zitatu,ter,kudha sadii,dyrls,syzdh,treze,terham,chunka kimsayuq,treisprezece,trinadtsat',sefulu ma le tolu,tryods,tri-deug,lesometharo,trinaest,leshome le metso e meraro,gumi netatu,tyrhn,dhtun,trinast,trinajst,saddex iyo toban,tilu belas,kumi na tatu,tretton,labintatlo,sezdakh,ptinmunru,unoch,pdmudu,`aserte seleste,khumenharhu,on uc,on uc,du mmiensa,trinadtsyat',tyrh,i'wn i'uch,o'n uch,muoi ba,tri ar ddeg,Shumi elinantathu,dryytsn,metala,ishumi nantathu
fourteen,veertien,katermbedhjete,'asra 'arat,'rb`h `shr,tasnch'ors,caidhy,tunka pusini,on dord,tan ni naani,hamalau,chatyrnatstsats',caudd,caudh,cetrnaest,chetirinadeset,catorze,katorse,ShiSi,ShiSi,quattordeci,cetrnaest,ctrnact,fjorten,saadha,caudam,dek kvar,neliteist,wuiene,labing-apat,neljatoista,quatorze,fjirtjin,catorce,totkhmet'i,dekatessera,parundy,caud,katoz,goma sha hudu,`umikumaha,'areva' 'esereh,kaum plaub,tizennegy,fjortan,iri na ano,sangapulo ket uppat,ceithre cinn deag,patbelas,hdinalku,on tort,dbabuon,cumi na bine,cauda,YeolNes,fotin,cardeh,chwrde,on tort,sibsi,quattuordecim,cetrpadsmit,zomi na minei,keturiolika,kumi na nya,veierzeng,chetirinaeset,caudah,efatra ambin'ny folo,empat belas,ptinal,erbatax,tekau ma wha,cauda,tramri,sawmpali,arvan dorov,chyle,caudh,fjorten,khumi ndi zinayi,cud,kudha afur,tswrls,chhrdh,quatorze,caudam,chunka tawayuq,paisprezece,chetyrnadtsat',sefulu mal le fa,cturds,ceithir-deug,lesomenne,chetrnaest,leshome le metso e mene,gumi neina,chwdhn,dhhtr,strnast,stirinajst,afar iyo toban,opat belas,kumi na nne,fjorton,labing-apat,chordah,ptinanku,undurt,pdnalugu,`aserte 'arba`te,khumemune,on dort,on dort,dunnan,chotirnadtsyat',chwdh,i'wn tot,o'n to'rt,muoi bon,pedwar ar ddeg,Shumi elinane,f'rtsn,merinla,ishumi nane
